Nom,Classement ATP,Victoires/Défaites (Carrière),Prix en argent,Pays,Âge,Poids,Taille,Année de début professionnel,Victoires/Défaites (Cette année)
NOVAK DJOKOVIC,"1
Rank","1095 - 216
W-L","$1,014,765
Prize Money",Serbia,36 (1987.05.22),170 lbs (77kg),"6'2"" (188cm)",2003,"8 - 3
W-L"
CARLOS ALCARAZ,"3
Rank","170 - 47
W-L","$1,736,000
Prize Money",Spain,20 (2003.05.05),163 lbs (74kg),"6'0"" (183cm)",2018,"15 - 4
W-L"
JANNIK SINNER,"2
Rank","212 - 75
W-L","$3,961,288
Prize Money",Italy,22 (2001.08.16),167 lbs (76kg),"6'2"" (188cm)",2018,"22 - 1
W-L"
DANIIL MEDVEDEV,"4
Rank","351 - 140
W-L","$2,220,917
Prize Money",Russia,28 (1996.02.11),182 lbs (83kg),"6'6"" (198cm)",2014,"18 - 4
W-L"
ALEXANDER ZVEREV,"5
Rank","412 - 183
W-L","$1,975,950
Prize Money",Germany,26 (1997.04.20),198 lbs (90kg),"6'6"" (198cm)",2013,"18 - 6
W-L"
ANDREY RUBLEV,"6
Rank","307 - 164
W-L","$858,366
Prize Money",Russia,26 (1997.10.20),165 lbs (75kg),"6'2"" (188cm)",2014,"15 - 6
W-L"
HOLGER RUNE,"7
Rank","107 - 69
W-L","$579,632
Prize Money",Denmark,20 (2003.04.29),169 lbs (77kg),"6'2"" (188cm)",2020,"13 - 7
W-L"
CASPER RUUD,"10
Rank","227 - 121
W-L","$1,150,597
Prize Money",Norway,25 (1998.12.22),178 lbs (81kg),"6'0"" (183cm)",2015,"20 - 6
W-L"
HUBERT HURKACZ,"8
Rank","189 - 131
W-L","$1,180,094
Prize Money",Poland,27 (1997.02.11),179 lbs (81kg),"6'5"" (196cm)",2015,"19 - 8
W-L"
ALEX DE MINAUR,"11
Rank","221 - 140
W-L","$1,465,792
Prize Money",Australia,25 (1999.02.17),152 lbs (69kg),"6'0"" (183cm)",2015,"19 - 6
W-L"
STEFANOS TSITSIPAS,"12
Rank","311 - 149
W-L","$707,692
Prize Money",Greece,25 (1998.08.12),198 lbs (90kg),"6'4"" (193cm)",2016,"11 - 6
W-L"
GRIGOR DIMITROV,"9
Rank","433 - 278
W-L","$1,143,529
Prize Money",Bulgaria,32 (1991.05.16),179 lbs (81kg),"6'3"" (191cm)",2008,"20 - 5
W-L"
TAYLOR FRITZ,"13
Rank","243 - 172
W-L","$904,970
Prize Money",United States,26 (1997.10.28),190 lbs (86kg),"6'5"" (196cm)",2015,"12 - 5
W-L"
TOMMY PAUL,"16
Rank","145 - 112
W-L","$740,842
Prize Money",United States,26 (1997.05.17),180 lbs (82kg),"6'1"" (185cm)",2015,"14 - 6
W-L"
UGO HUMBERT,"15
Rank","119 - 106
W-L","$1,028,361
Prize Money",France,25 (1998.06.26),160 lbs (73kg),"6'2"" (188cm)",2016,"15 - 5
W-L"
KAREN KHACHANOV,"17
Rank","256 - 185
W-L","$701,348
Prize Money",Russia,27 (1996.05.21),192 lbs (87kg),"6'6"" (198cm)",2013,"12 - 6
W-L"
BEN SHELTON,"14
Rank","44 - 34
W-L","$571,987
Prize Money",United States,21 (2002.10.09),195 lbs (88kg),"6'4"" (193cm)",2022,"15 - 7
W-L"
ALEXANDER BUBLIK,"18
Rank","141 - 132
W-L","$675,826
Prize Money",Kazakhstan,26 (1997.06.17),180 lbs (82kg),"6'5"" (196cm)",2016,"14 - 7
W-L"
SEBASTIAN BAEZ,"19
Rank","77 - 66
W-L","$819,732
Prize Money",Argentina,23 (2000.12.28),154 lbs (70kg),"5'7"" (170cm)",2018,"17 - 7
W-L"
ADRIAN MANNARINO,"20
Rank","295 - 321
W-L","$534,627
Prize Money",France,35 (1988.06.29),174 lbs (79kg),"5'11"" (180cm)",2004,"7 - 9
W-L"
FRANCISCO CERUNDOLO,"22
Rank","74 - 68
W-L","$407,135
Prize Money",Argentina,25 (1998.08.13),176 lbs (80kg),"6'1"" (185cm)",2018,"7 - 10
W-L"
FRANCES TIAFOE,"23
Rank","187 - 173
W-L","$382,250
Prize Money",United States,26 (1998.01.20),190 lbs (86kg),"6'2"" (188cm)",2015,"10 - 8
W-L"
