Nom,Date de naissance,Age,Taille,Préférence de main,Origine,Classement,Cash prize,Titres en simple cette année,Victoires cette année
"Iga
Swiatek",2001-05-31,22,1.76m,Right-Handed,"Warsaw, Poland",1,"$2,576,308",2,22
"Aryna
Sabalenka",1998-05-05,25,1.82m,Right-Handed,"Minsk, Belarus",2,"$2,399,121",1,14
"Coco
Gauff",2004-03-13,20,1.75m,Right-Handed,"Delray Beach, Fl. USA",3,"$1,246,509",1,18
"Elena
Rybakina",1999-06-17,24,1.84m,Right-Handed,"Moscow, Russia",4,"$1,471,535",2,22
"Jessica
Pegula",1994-02-24,30,1.70m,Right-Handed,"Buffalo, NY, USA",5,"$798,751",0,12
"Maria
Sakkari",1995-07-25,28,1.72m,Right-Handed,"Athens, Greece",6,"$1,355,180",0,15
"Qinwen
Zheng",2002-10-08,21,1.78m,Right-Handed,"Shiyan, Hubei Province, China",7,"$1,540,263",0,12
"Marketa
Vondrousova",1999-06-28,24,1.72m,Left-Handed,"Sokolov, CZE",8,"$518,816",0,5
"Ons
Jabeur",1994-08-28,29,1.67m,Right-Handed,"Ksar El Hellar, Tunisia",9,"$250,620",0,2
"Jelena
Ostapenko",1997-06-08,26,1.77m,Right-Handed,"Riga, Latvia",10,"$880,849",2,17
"Daria
Kasatkina",1997-05-07,26,1.70m,Right-Handed,"Togliatty, Russia",11,"$622,785",0,16
"Karolina
Muchova",1996-08-21,27,1.80m,Right-Handed,"Olomouc, Czech Republic",12,$0,0,0
"Beatriz
Haddad Maia",1996-05-30,27,1.85m,Left-Handed,"Sao Paulo, Brazil",13,"$599,156",0,9
"Jasmine
Paolini",1996-01-04,28,1.63m,Right-Handed,"Castelnuovo di Garfagnana, Italy",14,"$1,190,845",1,12
"Danielle
Collins",1993-12-13,30,1.78m,Right-Handed,"St. Petersburg, FL, USA",15,"$1,532,403",2,26
"Ekaterina
Alexandrova",1994-11-15,29,1.75m,Right-Handed,"Chelyabinsk, Russia",16,"$740,037",0,12
"Liudmila
Samsonova",1998-11-11,25,1.82m,Right-Handed,"Olenegorsk, Russia",17,"$298,335",0,4
"Elina
Svitolina",1994-09-12,29,1.74m,Right-Handed,"Odesa, Ukraine",18,"$407,301",0,11
"Veronika
Kudermetova",1997-04-24,26,1.75m,Right-Handed,"Kazan,Russia",19,"$328,734",0,6
"Madison
Keys",1995-02-17,29,1.78m,Right-Handed,"Rock Island, IL, USA",20,"$171,295",0,3
"Emma
Navarro",2001-05-18,22,1.70m,Right-Handed,"New York, NY, USA",21,"$640,055",1,21
"Anastasia
Pavlyuchenkova",1991-07-03,32,1.76m,Right-Handed,"Samara, Russia",22,"$572,581",0,17
"Caroline
Garcia",1993-10-16,30,1.77m,Right-Handed,"Saint-Germain-en-Laye, France",23,"$882,719",0,9
"Barbora
Krejcikova",1995-12-18,28,1.78m,Right-Handed,"Brno, Czech Republic",24,"$481,147",0,5
"Victoria
Azarenka",1989-07-31,34,1.83m,Right-Handed,"Minsk, Belarus",25,"$809,781",0,16
"Anna
Kalinskaya",1998-12-02,25,1.75m,Right-Handed,"Moscow, Russia",26,"$946,604",0,18
"Marta
Kostyuk",2002-06-28,21,1.75m,Right-Handed,"Kyiv, Ukraine",27,"$891,124",0,15
"Katie
Boulter",1996-08-01,27,1.82m,Right-Handed,"Leicester, England",28,"$546,175",1,13
"Sorana
Cirstea",1990-04-07,34,1.76m,Right-Handed,"Bucharest, Romania",29,"$470,956",0,9
"Elise
Mertens",1995-11-17,28,1.79m,Right-Handed,"Leuven, Belgium",2,"$893,228",2,12
"Linda
Noskova",2004-11-17,19,1.79m,Right-Handed,"Vsetin, Czech Republic",31,"$710,648",0,14
